group,l_max,t_max,n_active,n_zeros,Var,ratio_cvm,class_cvm,class_binned_20_40_80,verdict,paper_Var,paper_ratio,paper_class,grid_flips_of_27
2I,300,199.98,135,498,0.11759,0.4943,GUE,GUE/GUE/GUE,ROBUST-REPRODUCES,0.117,0.67,GUE,0
2O,296,199.9,142,520,0.11032,0.544,GUE,GUE/GUE/GUE,ROBUST-REPRODUCES,0.122,0.65,GUE,0
Z120,542,185.13,271,231,0.36918,2.9268,GOE,GOE/GOE/GOE,REPRODUCES-UNDER-DOCUMENTED-CHOICES,0.317,2.13,GOE,5
Z60,570,148.67,285,245,0.47238,2.3367,GOE,GOE/GOE/GOE,REPRODUCES-UNDER-DOCUMENTED-CHOICES,0.371,1.97,GOE,7
